  ,Itt,par,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18,par19,par20,par21,par22,par23,par24,par25,par26,par27,par28,par29,par30,par31,par32,par33,par34,par35,par36,par37,par38
2917,165850,38,2.69E-03,14.29,17.21,17.42,9.311,4.984,21.12,21.06,11.48,5.938,21.36,11.45,6.112,6.263,3.208,1.822,99.98,159.9,136.7,107.2,47.74,21.95,256.6,218.5,172.2,76.21,35.41,187.1,146.4,65.29,29.93,115.6,51.11,23.84,22.9,10.48,4.989,0.2337
2918,165900,38,2.75E-03,9.856,11.8,11.97,6.38,3.415,14.76,14.45,8.071,3.966,14.77,7.899,4.265,4.448,2.167,1.326,140.4,222.7,192.3,149.2,68,30.74,354.1,304.9,237.4,107.6,48.97,263.6,204.3,93.17,42.05,159.2,72.15,32.89,33.04,14.87,6.852,0.2325
2919,165950,38,6.41E-03,12.5,14.72,15.33,8.038,4.348,17.96,18.16,9.883,4.969,18.96,9.967,5.411,5.464,2.716,1.654,120.8,193.1,165,129.6,57.69,26.77,309.7,263.8,207.9,92,43.05,225.6,176.9,78.83,36.46,139.6,61.74,28.98,27.66,12.75,6.102,0.234
2920,166000,38,1.51E-03,8.988,9.802,11.23,5.37,3.516,11.12,12.38,6.17,3.768,14.19,6.846,4.44,3.455,2.071,1.444,126.7,204.7,171.8,138.5,60.6,29.52,331.6,277.6,224.5,97.75,47.92,233.3,187.7,82.26,39.92,152,66.12,32.51,29.12,14.09,7.036,0.2349
2921,166050,38,4.04E-03,7.855,8.761,9.677,4.725,3.041,10.08,10.88,5.492,3.358,12.08,5.933,3.796,3.024,1.822,1.228,140.2,225,191.5,151.4,67.7,31.79,361.7,307.2,243.6,108.5,51.25,261.9,206.6,92.56,43.29,164.1,72.98,34.59,32.78,15.31,7.377,0.233
2922,166100,38,4.30E-03,9.603,10.91,11.87,5.927,3.72,12.75,13.59,6.996,4.191,14.8,7.436,4.641,3.863,2.281,1.512,123.4,195.7,169.2,131,59.63,26.77,311,268.3,208.2,94.47,42.66,232.4,179.4,81.84,36.56,139.6,63.22,28.66,28.92,12.9,5.977,0.2363
2923,166150,38,1.22E-02,7.052,7.73,8.959,4.258,2.978,8.784,9.913,4.887,3.266,11.56,5.525,3.884,2.744,1.826,1.349,162.2,256.9,220.8,172.9,78.35,35.33,407.4,349.6,274.3,123.9,56.15,300.7,235.2,106.7,48,184.8,83.37,37.86,38.02,17.01,7.84,0.2356
2924,166200,38,1.77E-03,10.29,10.49,12.72,5.577,4.423,10.93,13.05,5.861,4.504,15.89,6.997,5.572,3.168,2.42,2.016,137.2,219.7,186.5,147.9,65.06,29.89,351.9,298.3,237,104,48.03,253.5,200.8,88.46,40.48,159.7,70.03,32.42,30.94,14.13,6.692,0.2356
2925,166250,38,5.91E-03,12.11,13.22,14.91,7.102,4.889,14.87,16.29,8.037,5.186,18.5,8.799,6.093,4.367,2.786,2.118,219.8,353.2,298.3,238.5,104.9,49.77,568,479.3,383.6,168.4,80.13,405,323.5,142.3,67.44,259.1,113.7,54.19,50.14,23.75,11.42,0.2348
2926,166300,38,9.08E-04,9.808,10.63,12,5.644,4.078,11.85,12.98,6.319,4.283,14.79,6.924,5.06,3.385,2.273,1.834,181.7,289.6,248.1,194.9,88.09,40.34,462.1,395.3,310.9,140.2,64.47,339,265.9,120.3,54.99,209.3,94.33,43.45,42.87,19.53,9.093,0.2364
2927,166350,38,4.94E-03,10.33,11.64,13.11,6.35,4.582,13.56,14.75,7.419,5.077,16.81,8.113,5.913,4.085,2.793,2.142,117.5,188.4,160.1,127.1,56.86,26.67,302.4,256.5,204,91,42.92,218.3,172.9,77.49,36.21,137.8,61.42,29.05,27.66,12.9,6.206,0.2336
2928,166400,38,2.65E-03,10.72,11.81,13.54,6.48,4.478,13.35,14.81,7.307,4.777,17.31,8.186,5.817,4.02,2.658,2.058,196.3,314,267.3,212,95.51,44.1,502.5,427.5,339.4,152.7,70.65,364.3,288.5,130.1,59.9,229.3,103.1,47.83,46.57,21.48,10.09,0.2359
2929,166450,38,3.50E-03,11.45,13.09,14.2,7.158,4.327,15.3,16.18,8.373,4.8,17.75,8.891,5.462,4.599,2.639,1.785,117.4,189,159.9,127.5,56.54,26.97,305,257.3,205.9,90.84,43.73,218,173.4,77.06,36.54,139.1,61.3,29.67,27.38,12.98,6.49,0.2351
2930,166500,38,3.44E-03,10.4,11.71,12.69,6.302,3.925,13.58,14.12,7.285,4.203,15.65,7.645,4.957,3.922,2.293,1.713,130.2,210.3,176.5,142.8,63.44,30.88,340.4,285.1,231.2,102.3,50.11,239.6,193.5,86.06,41.77,157.1,69.48,34.12,31.02,15.03,7.506,0.2339
2931,166550,38,7.52E-03,11.24,12.8,13.88,6.977,4.227,14.98,15.69,8.155,4.637,17.26,8.586,5.339,4.45,2.548,1.762,99.89,164.3,135.8,111.4,47.92,24.02,270.9,223.2,183.8,78.71,39.74,184.8,151.2,65.15,32.52,124.8,53.38,27.06,23.08,11.53,5.956,0.2351
2932,166600,38,5.15E-03,10.3,11.53,11.92,6.002,3.426,13.16,13.31,6.86,3.729,13.86,6.947,4.011,3.588,1.931,1.274,126.4,205,173.1,137.8,60.64,28.77,333.4,280.4,224.3,98.19,46.98,237.2,188.3,83.05,39.21,151.1,66.04,31.76,29.23,13.83,6.786,0.2341
2933,166650,38,4.96E-03,12.94,14.07,15.49,7.43,4.898,15.76,16.71,8.317,5.087,18.66,8.845,5.982,4.398,2.694,2.047,207.7,338.9,283.8,228.1,98.8,47.01,553.8,462.8,372.9,160.9,76.96,388,311.3,135,64.1,251.2,108.3,51.92,47.11,22.36,10.82,0.2336
2934,166700,38,5.21E-03,15.34,16.57,18.44,8.794,5.715,18.32,19.8,9.726,5.939,22.29,10.54,6.993,5.174,3.164,2.319,167.8,268.5,229.3,180.8,81.55,37.16,431.3,366.5,290.6,130,59.96,313.4,246.6,111.5,50.6,195.9,87.51,40.52,39.83,17.98,8.49,0.2349
2935,166750,38,5.36E-03,10.22,11.05,12.21,5.848,3.693,12.41,13.03,6.556,3.752,14.69,6.922,4.527,3.471,1.999,1.503,211.7,341.2,288,230.1,101.1,47.36,550.8,463.9,371.6,162.5,76.62,391.9,312.7,137.5,64.28,250.7,109.6,51.78,48.49,22.58,10.82,0.233
2936,166800,38,2.24E-03,7.7,8.164,9.538,4.444,2.93,9.03,9.973,4.904,2.864,11.96,5.463,3.779,2.675,1.581,1.332,130.4,209.2,176.7,141.8,63.2,29.53,336.5,283.5,228.1,101.2,47.61,239.7,192,85.66,39.9,154.7,68.63,32.38,30.79,14.33,6.917,0.237
