,Itt,par,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18,par19,par20,par21,par22,par23,par24,par25,par26,par27,par28,par29,par30,par31,par32,par33,par34,par35,par36,par37,par38
680,54000,38,0.1447,2666,3568,3036,1647,584.9,4867,4156,2274,795.1,3567,1961,697.5,1085,389,156.6,132.4,329.2,427.7,469.7,308.5,137.7,889.8,1138,1198,739.9,327,1461,1538,956.7,418.2,1745,1152,544.7,806.7,399.1,214.9,127.1
681,54050,38,3.92E-02,2266,3149,2662,1456,481.3,4509,3841,2132,695.2,3311,1856,625.5,1052,360.5,142.5,112.5,270,350,405.6,289.2,145,716.3,906.9,1040,701.2,365.4,1156,1319,898.8,460.5,1578,1099,585.7,799.7,427.9,243.7,126.5
682,54100,38,2.98E-02,3890,5569,4628,2527,752.3,8163,6835,3780,1126,5759,3206,969.8,1799,549.9,180.2,187.5,394.4,528.6,628.9,478.6,226.8,897.1,1177,1397,1019,497,1554,1839,1356,654.4,2235,1653,810.6,1258,611.8,307.1,125.2
683,54150,38,0.2588,5024,6826,5671,3043,985.7,9470,7934,4313,1401,6695,3667,1209,2028,676.1,238.9,211.9,476.4,629.3,721.2,532.8,253.3,1143,1480,1719,1241,615.7,1929,2222,1612,786,2649,1928,973.2,1430,720.8,382.6,126.1
684,54200,38,8.23E-02,4605,6365,5389,2951,1034,8972,7633,4220,1464,6527,3626,1271,2027,712.9,264.8,143.2,357.6,458.9,539.4,369.7,186.1,1015,1258,1510,988,541.3,1574,1872,1237,660.2,2290,1518,836.8,1039,565.3,330.4,124.7
685,54250,38,7.36E-02,6499,9176,7816,4323,1468,1.31E+04,1.12E+04,6233,2114,9608,5362,1829,3005,1029,362.9,167.9,412.4,525.5,647.7,475.6,252.6,1089,1361,1692,1205,661.1,1712,2109,1507,815,2709,1968,1100,1475,828.9,484.3,125.5
686,54300,38,1.61E-02,7414,1.03E+04,8794,4838,1634,1.45E+04,1.24E+04,6855,2310,1.06E+04,5890,1993,3275,1111,388.5,112.4,281.2,356.4,438.7,322.6,171.4,785.5,967.6,1197,846.2,472.9,1203,1469,1042,569.8,1920,1403,803.5,1066,615,373.5,125.3
687,54350,38,0.1033,7363,1.05E+04,9003,5019,1732,1.50E+04,1.29E+04,7249,2491,1.12E+04,6274,2166,3529,1221,435.8,85.58,221,283.6,307.4,208.3,102.4,605.3,764.7,830.6,552.8,281.7,972.6,1040,684.6,340.4,1217,856.2,456.9,654.7,365.5,219.3,125.9
688,54400,38,0.137,5780,7757,6522,3517,1243,1.06E+04,8916,4848,1709,7570,4136,1471,2274,813.3,305.2,74.81,185.6,244.7,245.9,149.9,58.24,498.5,642.7,650.6,387.3,163.4,837.9,820.9,475.1,184.8,969.7,660.1,328.4,518.9,292.3,192.5,125.4
689,54450,38,7.23E-02,5419,7353,6239,3401,1238,1.01E+04,8649,4759,1727,7433,4115,1504,2293,841.7,320.7,113.3,278.3,359.5,405.1,288.3,132.4,705.2,903.6,1017,713.9,335.9,1162,1295,904.5,417.9,1536,1116,544.8,847.2,428.8,235.6,125
690,54500,38,8.18E-02,7554,1.05E+04,9007,4979,1768,1.48E+04,1.27E+04,7059,2493,1.10E+04,6115,2170,3423,1217,444.8,183.5,455.9,588.5,651.5,459.7,213,1174,1502,1654,1151,547,1928,2113,1470,692.1,2413,1712,818.2,1238,593.9,296.2,124.6
