  ,Itt,par,par1,par2,par3,par4,par5,par6,par7,par8,par9,par10,par11,par12,par13,par14,par15,par16,par17,par18,par19,par20,par21,par22,par23,par24,par25,par26,par27,par28
1699,104950,28,1.53E-04,6.59E-03,0.1537,0.2622,0.1853,0.114,0.4497,0.3159,0.193,0.2238,0.1367,8.85E-02,1.431,1.837,1.808,0.9225,0.4838,2.366,2.316,1.188,0.6077,2.293,1.158,0.6239,0.6046,0.3021,0.1915,0.2412
1700,105000,28,4.88E-05,7.54E-03,0.2115,0.3636,0.255,0.1549,0.6268,0.438,0.2661,0.3078,0.1858,0.1172,1.26,1.603,1.628,0.7709,0.4794,2.054,2.062,0.987,0.584,2.112,0.9908,0.6387,0.4761,0.2812,0.2333,0.2433
1701,105050,28,6.49E-04,7.49E-03,0.3177,0.5495,0.3824,0.2341,0.9532,0.6606,0.4051,0.4609,0.2801,0.1792,0.9583,1.245,1.225,0.5896,0.3132,1.627,1.584,0.7717,0.389,1.574,0.7479,0.4156,0.3679,0.1813,0.1372,0.2392
1702,105100,28,5.97E-05,7.42E-03,0.4594,0.7991,0.5539,0.3304,1.394,0.9615,0.5789,0.6694,0.3941,0.2503,2.334,3.013,3.012,1.41,0.8229,3.9,3.88,1.827,1.043,3.896,1.812,1.079,0.8588,0.4834,0.3284,0.2417
1703,105150,28,1.77E-04,9.82E-03,0.522,0.909,0.6252,0.3877,1.586,1.087,0.6799,0.7504,0.4596,0.3023,1.553,1.977,2.019,0.9298,0.5867,2.531,2.563,1.188,0.7246,2.632,1.205,0.7776,0.5597,0.3432,0.2621,0.241
1704,105200,28,3.52E-04,8.17E-03,0.2686,0.4652,0.3233,0.1934,0.8081,0.5588,0.337,0.3902,0.23,0.1486,1.279,1.662,1.641,0.7733,0.3979,2.174,2.125,1.009,0.4956,2.111,0.9884,0.5233,0.4717,0.2345,0.1606,0.2427
1705,105250,28,7.98E-05,1.04E-02,0.259,0.451,0.3095,0.1922,0.7879,0.5375,0.3375,0.371,0.227,0.1509,1.429,1.85,1.826,0.8768,0.4381,2.409,2.358,1.137,0.5459,2.339,1.117,0.5709,0.5421,0.2647,0.1688,0.2409
1706,105300,28,5.77E-04,9.10E-03,0.2825,0.485,0.3417,0.2029,0.8368,0.5845,0.352,0.4145,0.2425,0.1529,0.8731,1.15,1.104,0.5452,0.2525,1.535,1.445,0.72,0.3028,1.401,0.686,0.3335,0.3443,0.1532,0.1182,0.2424
1707,105350,28,4.93E-05,8.55E-03,0.199,0.331,0.2446,0.1382,0.554,0.4052,0.2328,0.302,0.1671,0.1033,0.8363,1.091,1.064,0.5163,0.2504,1.445,1.377,0.6786,0.2941,1.364,0.6495,0.3383,0.3268,0.1438,0.1266,0.2436
1708,105400,28,2.12E-04,8.29E-03,0.1827,0.3,0.2237,0.1364,0.4958,0.3659,0.227,0.2754,0.1639,0.1101,1.259,1.623,1.598,0.7933,0.3882,2.114,2.045,1.033,0.4674,2.042,0.9926,0.5189,0.5144,0.224,0.1736,0.2425
1709,105450,28,2.37E-04,7.05E-03,0.2392,0.3823,0.2997,0.1679,0.6152,0.4766,0.2727,0.3771,0.207,0.1257,1.313,1.69,1.638,0.869,0.395,2.19,2.099,1.124,0.486,2.052,1.078,0.5082,0.5815,0.251,0.1533,0.244
1710,105500,28,1.09E-05,7.40E-03,0.1687,0.2787,0.2077,0.1241,0.4654,0.3407,0.2079,0.257,0.1501,9.74E-02,1.066,1.34,1.37,0.6669,0.3921,1.706,1.709,0.8455,0.4627,1.77,0.8496,0.5229,0.4244,0.2334,0.1877,0.2405
1711,105550,28,2.43E-04,8.31E-03,0.2056,0.3401,0.2565,0.1409,0.5671,0.4221,0.2358,0.3215,0.1726,0.104,1.584,1.919,2.061,0.9917,0.6733,2.335,2.491,1.203,0.8003,2.688,1.284,0.8849,0.6283,0.4162,0.3073,0.2421
1712,105600,28,6.26E-05,8.34E-03,0.2619,0.4415,0.3208,0.1901,0.7497,0.5382,0.3241,0.3947,0.2291,0.1473,0.4483,0.5405,0.5901,0.2714,0.194,0.6612,0.7063,0.33,0.2215,0.7834,0.3502,0.2644,0.173,0.1108,0.1023,0.2447
1713,105650,28,4.21E-06,8.90E-03,0.2041,0.3395,0.2525,0.1411,0.5684,0.4177,0.2387,0.3149,0.1691,0.1113,0.5984,0.7422,0.7615,0.3904,0.2256,0.9411,0.9302,0.4944,0.2512,0.9814,0.4855,0.3076,0.266,0.1319,0.1256,0.2405
